Q2: Please tell a story about a time when a person or an organization tried to help someone or change something in your community.,Q3: Give your story a title.,Q4: Name the organization or group most involved in what happened.,Q5: What is this story about?,Q7: Where did this story take place? (city or district),Q12: What is your connection to what happened in the story?,Q13: Who benefitted from what happened in the story?,Q19: Which of these relate to your story?,Q37: This story describes a...,,Storyteller ID
Javis is among the beneficiaries though being deaf but can communicate with sounds and action. He thanked mumias school for deaf for changing his life and now can work and earn a living for himself. He is working with an organization dealing and supporting needy deaf in his community area where he lives.  He is changing other deaf and dump by teaching and encouraging them everything is possible. He is a graduate at Nairobi university and serving the community for a change. He is helping and supporting back his people.,Hope for dead,Munias school for deaf.,,nairobi,Saw it happen,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,995
"Musawo Birimuye. She has helped me myself in my studies , she provides me with school requirements and at least a half of my tuition which has helped to reach this level of education (University level) yet she is neither my relative or mother.",A nurse that provides me with school requirements.,Musawo Birimuye,,Masaka,Heard about it happening,Mixed,"Food and shelter,Family and Friends,Knowledge",Good idea that succeeded,,996
I got a bursary of studying mu degree course in mutesa I loyal university. I was stuck in my education carrier because my parents were very poor to support me to finish university level.,giving of bursary to poor people,mutasa I local univerisity,"degree, studying, university, support, parents",MPIGI,Saw it happen,The right people,"Knowledge,Respect,Self-esteem",Good idea that succeeded,,997
Muteesa 1 lyal university gives free study scholarship to poor students so that they can continue with their education. This university give schance to two students from every district of Buganda region to study on free scholarship,Study scholarship,muteesa 1 loyal university,"scholarship, students, free, study, two",MASAKA,Saw it happen,The right people,"Knowledge,Creativity,Self-esteem",Good idea that succeeded,,998
"MUTEESA 1 Royal University (MIRU) is owned by the king of Buganda (Buganda Kingdom) has/gave out two(2) burgains in each district in uganda to students a boy and a girl.In this regards, the university is promoting education in hte country.This has helped the less privilledged parents to have their children access education.Credit goes to the buganda kingdom. This programme is called Buganda Bursary scheme (BBS)",HELPING THE NEEDY,MUTEESA 1 ROYAL UNIVERSITY,"credit, university, students, access, country",MASAKA,Was affected by what happened,The right people,"Family and Friends,Physical Needs,Freedom",Good idea that succeeded,,999
"In a bid to ensure that all ugandas aces education, Muteesa 1 Royal university opened up a branch in Kiboga District to ensure that all people get access to near quality education. In the long run this has forsteved development in the area.",BRINGING NEARER EDUCATION SERVICES,MUTESA 1 ROYAL UNIVERSITY,,WAKISO,Saw it happen,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,1000
My mother died some two years ago. I was in my senior six vocation. The chance of continuing with education was in suspense because  i has no money. Mutesa 1 local university helped to give a bursary to continue wikth education on and now i am studying a degree course in education,getting a chance of finishing education,mutesa 1 university,"course, years, local, continue, chance",MPIGI,Was affected by what happened,The wrong people,"Knowledge,Respect,Self-esteem",Good idea that succeeded,,1001
Mutes I loyal university offers free study schoolarships to two students from each district of Buganda Kingdom. This intended to improve on the level of education in the region.,UNIVERSITY SCHOLORSHIPS,MUTESA I LOYAL UNIVERSITY,"offers, students, two, district, level",MASAKA,Saw it happen,The right people,"Food and shelter,Family and Friends,Freedom",Good idea that succeeded,,1002
Mutesa i Loyal University offered a bursary to my brother to sturdy his degree course in social works and social administration. this has helped our family because we had no money to take him to the university,offers a bursary to somebody,Mutesa I University,,Mpigi,Helped make it happen,The right people,"Food and shelter,Physical Needs",Good idea that worked somewhat,,1003
Makerere university water project it is supports people with HIV/AIDS by giving them basic needs and also guidance and counceling to both young and elder people about HIV/AIDS,THANKS TO MUWARP,MUWARP,,KAMPALA,Heard about it happening,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,1004
"For many years in my community. Form four examination was considered enough for the youth in my village (shikoti).  Many students hardly performed above grade c (plain). Since the university programmes offer admission from c plus, it has been difficult for them to attain higher levels of learning due to the high cost required and the schools are also far away Mwanga pre-school teacher college has been launched for the past 5 years. It offers training (E.C.D) + Early Childhood Programme for those who got grade D+ and above. Since the fee is manageable and the school is on their doorstep, the villagers have benefited from the programme and are shaping their lives and carriers. The number of idleness has dropped greatly.",EDUCATION FOR ALL,MWANGA T.T.C,,Nairobi,Saw it happen,The right people,"Physical Needs,Knowledge,Creativity",Good idea that succeeded,,1005
"A small market (KM) which is neighbouring Kenyatta  University,the rate of plastic disposal was really hicking with no proper management.Mzee Otieno as many refer to him saw to it that he should start plastic collection such that he may recycle them when the size of the collection was enough for disposal.He started the project about a year ago and has since generated income to him as well as led to environmental conservation.",Plastic Recycling,Mzee Otieno,"recycling, plastic, environmental, recycle, conservation",NAIROBI,Saw it happen,The right people,"Family and Friends,Physical Needs,Freedom",Good idea that succeeded,,1006
"There was a man called Allon he was jobless while he studied up to university so he could to protect shorder to satisfy his basic need one day as he was walking the Railway line he was the  N.G.O having a tent saving people who need job.As he went he was told to pay a 1000 shilling  to registor he got a job of  cleaning offices as he went on doing this job as english mens say  that a luck knocks  at man door ones"" he got a proper to run the USA and went  when he came back he was now rich.",JOBLESS HELPED,N.G.O,"english, line, job, need, door",Nairobi,Saw it happen,The right people,"Food and shelter,Security,Family and Friends",Good idea that succeeded,,1007
"When i got news about a sponsorship from a certain NGO that is based in the United states. I quickly applied for my brother Kevin who is a first year student at Kenyatta University.      It was not an easy process but six months down the line, Kevin's university fee is being paid by the NGO something that has eased the burden of school fees from me.",SPONSORED,N.G.O,,BUSIA,Helped make it happen,The right people,"Food and shelter,Self-esteem,Freedom",Good idea that succeeded,,1008
National Social Security fund it helped to pay my father's money which he used to pay for my school fees to study the university and finishes our house.,Giving people their working benefits,N.S.S.F,"university, fees, giving, fund, social",Luwero,Saw it happen,The right people,"Security,Self-esteem,Freedom",Good idea that succeeded,,1009
This organisation has helped many number of orphans whose  parent were teachers to pay their school fees from primary to university. Those orphans are now having agood life.,FEE PAYMENTS,N.T.A,,KAMPALA,Saw it happen,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,1010
"Equity Bank has been rewarding students who score grade A in Kenya certificate of Secondary Education by giving them a job in the bank of salary twenty thousand shillings before they are ushered to the university. The organisation has been visiting, a small villages with small schools looking for students who will make the world a better place. This acted as a motivational factor to the students making them to work hard for this opportunity. This process started lately. It has provided an opportunity for the students to improve on their lifestyle and has enabled them to realise there is no hard work which is never rewarded.",ASSISTING THE UNABLE,n/a,"factor, schools, small, secondary education, provided",Nairobi,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,1011
"In my home area,there was a girl called sarah.she was an orphan.she lived with her father and liked her so much.one day sarah and her friends wanted to make a show at their school.There were the visitors at their school.the visitors wondered how the girl was performing.The visitors called sarah.sarah was told.sarah was helped by the visitors until.she reached university.",THE VISITORS HELPING THE GIRL,NAGUJJA SHARON,,KAMPALA,Was affected by what happened,The right people,"Family and Friends,Knowledge",Good idea that succeeded,,1012
Joyce is now a student at the university of Nairobi. She go help from Nairobi Chapel where she was a member of the youth group. Through her good performance the sponsored her through secondary school and now she is about to reap the fruits of her labour.,Fruits from her labour.,Nairobi Chapel,,NAIROBI,Helped make it happen,The right people,,Good idea that succeeded,,1013
Tecla is a mother who is proud of his family and community. She had four children and she has always led busy life but with help of husband. She teaches her children&#8217;s good moral and morals and moulding them into what they are today. She is PHD student at Muliro Masinde University pursuing a course in peace and conflict studies and researching on trauma healing among indigenous communities of Mt Elgon. She collaborate with Nairobi peace iniotiative Africa to train 500 community workers in basic skills in conflict transformation she wants now to give back her services to her community in Mt Elgon to change her society way of living,Family life,Nairobi peace Initiative of Africa,,Mt,Heard about it happening,The right people,"Family and Friends,Respect,Fun",Good idea that succeeded,,1014
Nakibuuka Aidah a 20 year old girl extends he thanks to Nakwaya christian fellowship for having rendered her all the neccessary support in her education. She asserts that she never saw her parents yet the grandparents have no money to take her to university after her senior six. Am at campus (Ndugoye university) in my second year i received every thing from the church.,HUMANITARIAN HELP,NAKWAYA CHRISTIAN FELLOWSHIP,"humanitarian, received, support, year, take",KIBOGA,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Freedom",Good idea that succeeded,,1015
"i am an orphan my parents passed away when i was doing my K.C.P.E. lastly when my mother that i use to depend on passed away last year,i was left confused with no hope in life.i thank God Namatsi self help group that came is to support me.i am now in secondary school in form one and believe to go up to the university and at the end of it all i believe God will make a way for me to have a job to take care of myself",education support,Namatsi self help group.,"support, self, parents, go, education",Kakamega,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,1016
Nazarene school was mostly initiated for the purpose of helping out the people living in slum. At first it help the children dearly this is to mean that to some extend they even cater for their full school fees. But what happened after they realize that they can make profit thy quit everything and let the pupils to struggle on their on.,PROFIT DEMOROLIZES,NAZARINE,"mean, quit, struggle, fees, full",NAIROBI,Helped make it happen,Mixed,"Food and shelter,Family and Friends,Physical Needs",Good idea that should have worked but did not,,1017
Ndejje University helped to construct the road from Bombo town to Ndejje university something which helped to improve road network and gave us a chance to transport our agriculture produces from village to Kampala where they is market.,improving road network,Ndejje University,,Luwero,Was affected by what happened,Mixed,"Family and Friends,Physical Needs,Knowledge",Good idea that succeeded,,1018
Last year ndejje university conducted community work at Ndejje hospital were they cleaned the patients wounds toilets washrooms and even slashed the hospital compound Hygiene and sanitation and respect of good health service were exhibited hence saving patients and their attendants from being infected by disease  emanating from sanitation and hygiene practices,COMMUNITY WORK AT THE HOSPITAL,NDEJJE UNIVERSITY,"conducted, year, health, patients, work",wakiso,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,1019
Ndejje University which is found in luwero district has helped to provide quality education to our students in luwero district and Uganda at large my son studied a degree course in that university which helped him to get a job in Uganda national bureu  of statistics,providing quality education to peolpe,Ndejje universty,"providing, students, provide, national, quality",Luwero,Saw it happen,The right people,"Food and shelter,Knowledge,Fun",Good idea that succeeded,,1020
"If there is anything i will always live to appreciate and be proud off it's Neema Women Group. This originates back in 2005 when my university admissions letter came informing me of my admission to Kenyatta university. At that time, i only had Ksh 35,00 to cater for my first year and up keep but there seemed to be a great financial obstacle ahead and for once i was worried about things will go but i decided to go on and i decided to go on and then i would cross the bridge when i arrived there.  Even before that time, i approached the director of Neema Women Group who welcomed me warmly and was even happy that i had approached her. The result was that finally all worries were gone and the only thing i had to do is to concentrate on my studies.",HOPE AT LAST,NEEMA  WOMEN,"admission, appreciate, keep, financial, go",BUSIA,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Freedom",Good idea that succeeded,,1021
"It was all smiles as I read my school fees receipt that showed I had received Ksh 15,000 from Neema Women Group. I was in form four by then and I was almost failling to register for the K.C.S.E exams due to the huge fee balance of Ksh 14,000.         I really thanked God for Neema Women Group because finally I was able to register and that year I really worked hard not to disappoint them. I got an A(minus) and to day the group even sponsors me in University.",NEEMA WOMEN GROUP,Neema Women Group,,BUSIA,Was affected by what happened,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,1022
It has been along journey to this far I have reached and I just owe alot of credit to Neema Women Group for their continued support since my high school days to this moment that am a third year in Kenyatta University taking a bachelors degree in Economics and Statistics.      I never knew I would reach this far especially after I lost both parents but Neema Women group has helped me fulfill dreams and am proud to be associated by the group.,THE LONG JOURNEY,Neema Women Group,,Nambale,Was affected by what happened,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,1023
"Who could ever think that i would join the university?there is no one.Who could ever think that at last my university fees would be found?No one.Those are times when i had sat home for one and half years since my university admissions letter come. It was just six months to the expiry of the letter and i was really worried that my efforts of working hard in class so as to go university will go into shumbles just like that. I remember just one month to the deadline or rather expiry date,a friend of mine came and advised me to try and seek help from Neema Women Group.I felt some heaviness in my heart but at the end chose to God.After telling the director May my problem ,she was touched and told me immediately start preparing because i would join the university as soon as they re-open that was three weeks from that day. Gosh i almost went crazy.",HOPE AT LAST,Neema Women Group,"hope, problem, just, god, times",BUSIA,Was affected by what happened,The right people,"Physical Needs,Respect,Freedom",Good idea that should have worked but did not,,1024
"We efforts diverted to conserve environment, Friends of Environment Organisation Mukono University mobilized Community to provide different tree species to be planted inoreder to conserve environment. With the failure of the community to provide trees National environmental management gave them pine, eucalyptus, mango and jack fruit trees to be planted so as to preserve environment.",ENVIRONMENTAL CONSERVATION,NEMA,"fruit, environmental, tree, trees, environment",MUKONO,Helped make it happen,The right people,"Physical Needs,Knowledge,Creativity",Good idea that succeeded,,1025
There is a person who wanted to go for higher education but he has no money to go. A day came when an organisation of New hope ophan child care came in and helped him and educate him up to university. The person is now succeded.,Helping the needy,New hope ophanes child care,"higher, new, care, needy, child",Luwero,Was affected by what happened,Mixed,"Food and shelter,Family and Friends,Self-esteem",Good idea that succeeded,,1026
"Ngando Preparatory centre is helping poor children from poor community to acquire education up to university level. It has done alot to the community and now other center are being encourages to sate an example to others, community like (N.P.C)",Education id light,Ngando preparatory Center,,Nairobi,Saw it happen,The right people,"Knowledge,Creativity,Fun",Good idea that succeeded,,1027
I am a crippled lady of 30 years. I have been married for 6 years and blessed with 2 children.   One year ago I was driving my friends to Kisumu to celebrate our Easter holiday. I was innvolved in a tragic car accident in majengo.a trailler lost control and crashed my saloon car from behind.all my three friends on he back seat died on the spot. my friend and I on the front seat escaped but with very serious injury. My spinal cord was disconnets 1 of my arms had a major fracture as well as both my feet. I was rushed to kakamega  General Hospital since i was in critical condition and had bled so much-My other friend died on the way. I was laid in hospital for six months and the bills were very expensive . My husband could not meet the since he pays his post graduate fees at Masinde Muliro University. The National Health Insurance Fund  Kakamega Branch paid all my hospital bills since I am a member. I am now able to go on with my life though I move on a wheelchair. I thank God for saving my life and NHIF for paying my hospital bills.,ESCAPE FROM DEATH,NHIF(National Health Insurance Fund) Kakamega Branch,,Nairobi-capital,Was affected by what happened,The right people,"Food and shelter,Physical Needs,Freedom",Good idea that succeeded,,1028
"Icompleted my primary level under universal primary Education which was introduced by the government under HE Yoweri Kaguta Museveni and i passed very well. I was poor and my parents were not ready to pay my school fees in secondary. I got asponsorship from the government and i was taken to Kabula high school. After a year the government did not pay any coin and iwas chassed away. I got another sponsorship from RACOBAO which paid for my school fees upto senior four. After senior four, I passed highly and i was given another sponsorship to Masaka secondary school. And i am now ready to join the university at Mbarara University",Helping the needy NICOBAR,NICOBAO,"sponsorship, year, fees, given, high",Lyantonde,Was affected by what happened,The wrong people,"Food and shelter,Knowledge,Respect",Good idea that succeeded,,1029
"Nightline is an organisation run by students for students that help them when they're having stress or difficulty or worry. It gives them a place to ring and talk to someone and vent their problems. I volunteered for them and was one of the people answering the phone. I sat there for 7 at night until 8 in the morning, manning phonelines if and when people called in for help. I would talk to them about what they were worried about. It helps people to feel less worried and stressed about university and what is going on as they know they are not alone. They can get guidance where they can get the right help. The problem is that there is not enough support for students in need, and Nightline are trying to change that and get more support. One of the major parts of Nightline is that it is not an advice line, it is a support line. If they ask what they should do, the person on the phone can't tell them. It's about giving them guidance and supporting them in the decision they choose to make even if it is wrong in your opinion. It's just so they know they have someone to talk to. They'll get to the right idea by themselves. There are individuals that the organisation has definitely made a difference to. There are people who ring up relatively regularly  because they've got problems, but they know that they can always turn to Nightline.",Supporting students in need,Nightline Leeds,,Leeds,Helped make it happen,The right people,"Knowledge, Self-esteem, Freedom",,,1030
University students have been supporting the work of moving the victims(people from the disaster region). [65697],A small support is a big support,Nini Dantai (Volunteer organization) Posse,,Miyagi,,The right people,Food and shelter,,,1031
"Last two months,there was a woman who accepted to help a certain boy who passed his K.C.S.E well but he was unable to join university for higher education.She accept to take him at Kenyatta university to complete education.After four months,she changed her mind and told that boy that she would like to marry him because his education coast her a lot of money.The young boy rejected and forward the matter to the police station.The story was very wonderful,terrible and painful.",CHILD ABUSE,NJERI,,Nairobi,Saw it happen,Nobody,"Security,Self-esteem,Freedom",Good idea that failed,,1032
"Nkobazamboogo is a Cultural association spread all over Central region mostly in schools. At Muteesa 1Royal University last year it planted trees all over the campus which will perovide sheler and also fruits to students because some were fruit trees like Mango, Orange ovacado name it",CONSERVING ENVIRONMENT,NKOBAZAMBOGO,,MASAKA,Saw it happen,The right people,"Knowledge,Creativity,Self-esteem",Good idea that succeeded,,1033
"Nkobazambogo Kampala University carried out  community work in Gaaba Market  for instance  cleaned up trenchs, swept the market.This was so because the students are using this market yet it's hygiene was alarming.",COMMUNITY WORK,NKOBAZAMBOGO KU,,KAMPALA,Helped make it happen,The right people,"Food and shelter,Family and Friends,Knowledge",Good idea that succeeded,,1034
"ST. MARY'S SS Nkozi helped my children to study , it gave them skolaship to study from S 1- S6 this helped them to pass very well and continue to University. the school also gave them books and other requirements in order to finish their studies.",helping poor children,NKOZI SS,,Mpigi,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that worked somewhat,,1035
"In the Uganda martyers university scheme of helping two people for education every year, my child benefit and finish his degree course in education  something which helped him get a job.",helping two children a year.,Nkozi university,"degree, finish, year, university, two",Mpigi,Helped make it happen,The right people,"Food and shelter,Physical Needs,Freedom",Good idea that succeeded,,1036
Nkozi university helped to construct a road from Nkozi to Kayabwe town which links to Masaka high way.this helped the farmers from village to transport their products to market places.,Improving Road network,Nkozi university,,Mpigi,Heard about it happening,The right people,"Family and Friends,Knowledge",Good idea that succeeded,,1037
Nkozi university helped to give two bursaries to 2 students in Nkozi sub county every year. My daughter benefited on this bursary she finished a degree course in social works and social administration which helped her to get a job,promoting education in Nkozi sub county,Nkozi university,"degree, students, year, university, two",Mpigi,Was affected by what happened,The right people,"Food and shelter,Physical Needs",Good idea that succeeded,,1038
Nkozi Retaract club to put into action the club's aims objectives and mission of helping the needy children and people in general gave out mosquito nets to Tulinaomubeezi child development centre to be given out the kids so that malaria is not attached by them.,HELPING VULNERABLE AND NEEDY,NKOZI UNIVERSITY POTARACT CLUB,"objectives, general, centre, mission, development",MASAKA,Saw it happen,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that worked somewhat,,1039
Nkumbu University stages boda received reflector jackets from the vocal's club of Nkumba to help them in over coming being knocked down by vehicles moreso at night.This partly came when one of the bodaboda cyclist was knocked down to death at night yet it's the same people who ride the University studentss Moreso those of evening programme.,REFLECTOR JACKET DONATION TO CURB ACCIDENTS,NKUMBA VERSITY STUDENTS,,KAMPALA,Saw it happen,The right people,"Family and Friends,Physical Needs,Freedom",Good idea that succeeded,,1040
"NSSF, My father died before I could complete my university studies. The situation was so confusing for all of us and I thought that was the end of my studies. I lost all the hope. Then I was informed that my father had been saving with NSSf and so we were asked to fill in forms and recieve our benefits. This money was given to us and now I have been able to complete my studies and my siblings are also still in school thanks to the NSSF saving scheme.",The saving scheme that saved my education.,NSSF,,Kampala,Saw it happen,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,1041
"People infected with HIV and AIDS and those affected usually loose there self esteem. Indangalasia sub-location kakamega central district in kakamega county, individual person came up with an initiative of helping those people restore hope in patnership with Masinde Muliro University. They built a resource centre that was named nuru with mission of spreading the information on prevention of HIV. This also had free testing for the community. The organisation is currently empowering the youths and the community on food security programes.",HIV with a new look in Indangalasia sub-location,Nuru club,,Kakamega,Saw it happen,The right people,Physical Needs,Good idea that should have worked but did not,,1042
"Many pupils after they have done their kenya certificate of primary education (K.C.P.E) exams, mostly they get standered especially those who comes from the poor families and those who have no parents. Some ends up to work as house boys and house girls which is a form of child labour.     Through God's mercy, a women group has come to rescue such pupils, their schol fees is being paid so they can join secondary schools and get education. This women group has help a number of pupils whom before could not join secondary school. They have ended up helping thos bright needy pupils to the university",A HEART TO HELP THE NEEDY,NYANG'S SELF HELP GROUP,"mercy, work, number, families, poor",HOMA-BAY,Heard about it happening,The right people,"Family and Friends,Physical Needs,Knowledge",Good idea that succeeded,,1043
My parents were university lectures when they were alive.I attended a private school named Acacia academy after my parents died.I lived with my uncle for one year but he mistreated me.So my aunt brought me to Amboseli place.She didnt want to look after me because she found i was HIV positive.It makes me sad that she didnt want me to live with her.It wasnt my fault that i am HIV positive say Anne.God is a secret which knows where i got my AIDS.Nyumbani children home rescued me and has given me a home thanks for being my family nyumbani for orphans and positive.Iam  a happy girl i will survive and change negative attitudes towards HIV-positive,be positive to HIV children and orphans,nyumbani children home,,nairobi,Saw it happen,The right people,"Physical Needs,Knowledge,Creativity",Good idea that succeeded,,1044
"It was around Seven O'clock 2008 when we heard somebody screaming for help from a nearby road.e took to our heels towards the road ,on our surprise there was a crowd of people surrounding a white car.It was shocking that two men,including a pastor were being arrested in Kitui for impersonating a University Professor, Car jerking a taxi Operator and attempting to murder him. Kitui OCPD served the Professor by shouting for help.The public was upset to see a pastor being apprehended for such a crime.The two men who were in the crime ran away leaving behind a cellphone.CID officers used it to trace the two who were later arrested",PASTOR ARRESTED FOR ATTEMPTED MUDER,OCPD LILLIAN OKEMBO,,NAIROBI,Saw it happen,The right people,"Knowledge,Self-esteem,Freedom",Good idea that succeeded,,1045
"Rose's son qualified to join Maseno University September this yr, but for her, admitting her son was a smooth exercise because she applied for a loan from her group which she paid part of his fees and accomondation while they are waiting for loan from HELB.   Her group came at handy unlike many who run up and down in search of money.",A friendly group,OK-lowa women Group.,,SIAYA,Saw it happen,The right people,,Good idea that worked somewhat,,1046
"When I was a child in the late 80's, there was a high demand for computer literacy in the community that I grew up in. Computers were rarely seen inn the small offices that the common people did frequent like hospitals, post offices. The idea of cyber cafes was Greek to many as this was only a clue to those who lived in the major towns.  In the mid 90's, Omega Foundation, an organization was introduced and its services concentrated in the rural areas of Nyando district, Kisumu district and many others in Nyanza province.   It grew so fast that towards the millennium, many orphanage homes, self-help groups had donations of computers from the NGO offering lessons ""packages"" at affordable rates for mainly the form four leavers before they could join university or college.  This more engaged the youth, the teenagers in constructive activities and reduced the level of computer illiteracy in the community. It also led to the realization of talent as many found their passion in computers and later enrolled fro computer- related courses now earning a living, thanks to the Omega Foundation.  Up to now, the founder of Omega Foundation, Dr. Joshua Oron has quit his profession as a doctor and now manages the organization to extensively provide for the people.",TECHNOLOGY ON THE MOVE,OMEGA FOUNDATION,,KISUMU,Was affected by what happened,The right people,"Physical Needs,Creativity,Self-esteem",Good idea that succeeded,,1047
The past-election violence has really brought between people of kenya especially in kibera a place that did have been a countable tribe leaving in.But this got many people wake up and now this movement called one people is really facilitating to see that many people in are elated for the twenty twelve elections to see no person fights another again. It got many dead and those who were victims that survived are never willing to forget.People especially the politicians are forgeting that we had very tough time during the last general election.,Tribal differences,One people,,NAIROBI,Saw it happen,The right people,"Security,Knowledge,Creativity",Good idea that worked somewhat,,1048
"Children of Kibera foundation is sponsoring needy pupils in all learning levels such as primary, secondary and even university. The main offices are located at Red-Rose school. If you have a needy child and performs very well in school take him there and maybe helped to become a better person in future. This organisation is prospering because it is well managed and the funds they get from donors is well used to help needy pupils in Kibera.  Some of the time the donors are always impressed with how the organisation is being run and this is what encourages them to continue supporting children all over Kibera.",CHILDREN OF KIBERA FOUNDATION,Organisation,"levels, encourages, learning, needy, take",NAIROBI,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that failed,,1049
Children of kibera foundation is an organization which is sponsoring needy pupils in all learning levels such asprimary secondary and even university.   The main offices are located at red-cross school.If you have a needy child and perform very well in school take him there and maybe helped to became a better person in future.  This organization is prospering because it is well used to help needy pupils in kibera.  Some of the time the donors one always impressed with hour the organization is being run and this is what encourages them to continue children all over kibera.,CHILDREN OF KIBERA FOUNDATION,ORGANIZATION,"levels, encourages, learning, needy, take",NAIROBI,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that failed,,1050
"Children of Kibera foundation is an organization which is sponsoring needy pupils  in all learning levels such as primary, secondary and even university.  The man offices are located at Red- Rose school. If you have a needy child and performs very well in school take him there and maybe helped to become a better person in future.  This organization is prospering because it is well managed and the find they get from donors is well used to help needy pupils in Kibera.  Some of the time the donors are always impressed with how the organization is being  run and this is what encourages them to continue supporting children all over KIbera.",CHILDREN OF KIBERA FOUNDATION,ORGANIZATION,"levels, encourages, learning, needy, take",NAIROBI,Saw it happen,The right people,"Knowledge,Self-esteem,Freedom",Good idea that failed,,1051
Children of Kibera foundation is an organization which is sponsoring needy pupil in all learning levels such as primary secondary and even university. The main offices are located at Rred-Rose school. If you have a needy child and perfoms very well take him there and may be helped to become  a better person in future. This organization is prospering because it is well managed and the funds they get from donors is well used to help needy pupils in Kibera. Some of the time the donors are always impressed with how the organization is being run and this si what encourages them to continue supporting children all over Kibera.,CHILDREN OF KIBERA FOUNDATION,Organization,"levels, encourages, learning, needy, take",NAIROBI,Saw it happen,The right people,"Knowledge,Creativity,Self-esteem",Good idea that failed,,1052
"There is christian Union organisation,their work was to walk around the community in search of student who finish High School and who are not capable of joining University and College due to lack of fund. This project runned with in favour of orphans and those their parent are not capable to take their children to college. In my area they took sixty student to persue their dreams.",Orphans,Organization,,NAIROBI,Saw it happen,The wrong people,"Physical Needs,Respect,Freedom",Good idea that succeeded,,1053
There is an organisation for the disabled group which has helped take good of people with disabilities. It is found in Wandegeya opposite makerere university. It was started to help those people who can't afford to look after themselves especially those who were abandoned because of disabilities such as lame. The organisation could not discriminate from those people provided someone came with disabilities was welcomed positively or warmly. It included both young and adults. They were provided with wheel chairs where those who could not work on their two legs sat.,PROVISION OF WHEEL CHAIRS TO THE DISABLED,ORGANIZATION FOR DISABLED GROUP,,Kampala,Heard about it happening,The right people,"Knowledge,Self-esteem,Fun",Good idea that succeeded,,1054
"My name is Lucy Aquilina formally of Namirama Girls High School. I was supported to learn there by Orphan Child Care Centre as a result of the demise of my parents. Together with me was my sister with whom we joined this orphanage in 2000.  We were given full basic needs ( care, and education , from Primary up to Form 4 secondary level . I worked hard but did not do very well as I hoped to. my wish was to repeat Form 4 , score much better then go to University so as to pursue a degree in Medicine but I have been unsuccessful in finding further assistance . This Orphanage  has so many children and does not allow in any people above 18 years . I pray that I may get a sponsor to help me mould my future through college.",HELP THAT WAS TIMELY.,ORPHANS CHILD CARE CENTRE,"orphan child, pursue, given, medicine, child care",KAKAMEGA CENTRAL,Was affected by what happened,The right people,"Security,Family and Friends,Physical Needs",Good idea that succeeded,,1055
Iminza has brightened her life through support from othodox church. she was orphaned her parents past away when she was in form two. The church took responsibility to educate her and finish the school.              Now she is fouth year in Nairobi University she wants to support poor children in the community where by she want to be adocter to return the service back to the poor people and community.,Give education to orphans,othodox church,,Nairobi,Saw it happen,The right people,"Security,Knowledge,Creativity",Good idea that succeeded,,1056
"one man changed  a life of a ten years old girl,the fact she is an orphaned her aunt who she was staying with chased her away. She was to go and work for someone as a house girl. When she met one of the charitable man called Otieno, she narreted everything on how her aunt has been mistreating her bardly.            That man took her to his home and stayed with her, now thw girl is eighteen year old and she has just completed her fourth form last year. her life has been changed and she is to join university soon.",HELPING THE FORGOTEN LOT,Otieno James Onyango,"orphaned, girl, year, work, years",RONGO,Heard about it happening,The right people,"Knowledge,Respect,Self-esteem",Good idea that succeeded,,1057
Our lady of fatuma it has done a role of providing the poor children's and orphanages through games out education from nursery up to to university and then also vocational skills. So this advantageous to change their standards of livings in the community.,Empowering the orphans and poor children's through education,Our lady of fatuma,"orphanages, orphans, skills, ""childrens"", education",Kampala,Saw it happen,The right people,"Food and shelter,Security,Knowledge",Good idea that succeeded,,1058
In our village we had been lacking financial support. This was a major problem since most youths had performed well in there secondary exams but lacked financial support to make them continue with their education. An organization by the name ACCFS came to our village since the problem had spread all over the community. Those who had finished with their secondary exams were supported to move to the university level and others were opened small business scale to start. The village was helped financially and as the youths were now educated in the society. The organization was thanked for the support they offered to the village since no one was there for the support.,Financial need,Our village,"support, youths, need, financial, offered",Kakamega,Saw it happen,The right people,"Food and shelter,Security,Knowledge",Good idea that succeeded,,1059
